ch_no,ch_title,number,location,name,summary
8,Voluntary Conservation,8.2,United States,Land Trusts and Conservation Easements in the United States,"Over 70% of land in the United States is privately owned, nearly 10 times the amount of land in IUCN-categorized protected areas (within the 48 contiguous states). Land trusts are private, non-profit organizations that acquire and steward land for conservation. When a private land owner wants to place a conservation easement on their land, they enter into an agreement with a land trust.",
9,Water Funds,9.1,Ecuador,Unknown,Unknown,
9,Water Funds,9.2,Kenya,The Upper-Tana Nairobi Water Fund,Unknown,
9,Water Funds,9.3,Brazil,Unknown,Unknown,
10,Market-Based Transactions,10.3,Australia,The Murray-Darling Basin Water Sharing Investment Partnership,"The Murray-Darling Basin is known as Australia’s food bowl (Figure 6.3). The region contains 20% of the country’s agricultural land area and produces one-third of its food supply, including nearly AUS$7 billion in irrigated produce. The Murray-Darling Basin Water Fund buys water rights and each year leases between 60-90% of its water to farmers for agricultural purposes. Profits from leasing water rights go back to fund investors. The Fund donates the remaining 10-40% of its water holdings to wetland restoration.",
10,Market-Based Transactions,10.1,United States,Unknown,Unknown,
10,Market-Based Transactions,10.4,United States,Unknown,Unknown,
11,REDD+ ,11.1,Indonesia,Unknown,Unknown,
11,REDD+ ,11.2,Brazil,Unknown,Unknown,
12,China,12,China,Unknown,Unknown,
13,Costa Rica,13,Costa Rica,MAINSTREAMING VALUES OF NATURAL CAPITAL INTO POLICY AND FINANCE: THE CASE OF COSTA RICA,"Costa Rica is unique in several ways. A key factor is the country’s geographic location as narrow land bridge between the great landmasses of North and South America. Its rugged topography includes mountains that rise up to 3800 meters above sea level, and its land bears two different seasonal regimes that contribute to its extremely varied habitats. Costa Rica’s biological diversity is outstanding in the Americas as well as in the tropical world as a whole. With a land area of only 51,000 square kilometers, it contains nearly 5% of all plant and animal species known to exist on the planet. In addition to this rich biodiversity, the country’s long-standing efforts in conservation are well known. They include a system of national parks and protected areas, many of which are World Heritage Sites.",
14,US Coastal Resilience and Climate Adaptation,14.1,United States,Ecosystem Restoration in the US Gulf Coast,"The Gulf Coast ecosystem is vital to the people, environment and economy of the United States, providing abundant seafood, valuable energy resources, diverse recreational activities, and a rich cultural heritage. The total funding for ecosystem and economic restoration in the Gulf Coast from the Deepwater Horizon Oil Spill amounts to more than US$20 billion, with the major funding streams being ~US$5.5 billion from Civil Penalties under the Clean Water Act to be dispersed according to the RESTORE Act, just over US$2.5 billion to be administered by NFWF, and no more than $8.8 billion from NRDA.",
14,US Coastal Resilience and Climate Adaptation,14.2,United States,Post-disaster investments for coastal resilience along the eastern US,"Hurricane Sandy was one of the deadliest and most costly hurricanes in United States history. When it hit the eastern seaboard as a Category 2 hurricane, it became the largest Atlantic hurricane on record. At least 223 people were killed, including 160 in the US alone, and damages amounted to more than $75 billion. A total of 24 states were affected by Hurricane Sandy, with New York, New Jersey, Pennsylvania, Delaware, Maryland, and West Virginia suffering much of the damage and loss of life. Numerous relief efforts and fundraisers emerged after the storm, including the Disaster Relief Appropriations Act passed in January 2013. The Hurricane Sandy Disaster Relief Supplemental Appropriations Act of 2013, Public Law 113-2 (also referred to as Sandy Supplemental), appropriated $829 million to the Department of the Interior to respond to and recover from Hurricane Sandy.",
14,US Coastal Resilience and Climate Adaptation,14.3,United States,"Watershed and floodplain planning and investments in the San Francisco Bay Area, US","The watershed and floodplain of San Francisquito Creek, California encompasses approximately 130 square kilometers from the Santa Cruz Mountains to San Francisco Bay. For the planning, design and construction of watershed management projects, over the past five years the SFCJPA has raised over $95 million, including $50 million from local cities and water districts in two counties, $34 million from the State’s water and transportation agencies, and over $10 million from private sources, including a utility and Facebook. ",
15,UK,15,United Kingdom,Unknown,Unknown,
16,Development planning in Caribbean,16.1,Myanmar,Development planning in Myanmar,Unknown,
17,Cities,17.1,Australia,"Urban water management in Melbourne, Australia","The city of Melbourne is internationally recognized as a leader in integrated urban water management. To address the multiple types of hazards it faces, including droughts, floods, and heat waves, the city has developed integrated urban water management plans that include nature-based solutions. This case study describes the experience of the Yarra Ranges Council, a municipality in the Greater Melbourne Area that has pioneered innovative approaches to stormwater management"
17,Cities,17.2,France,"Urban planning experiment in Bordeaux, France","The metropolis of Bordeaux consists of 28 municipalities. In addition to large areas of artificialized urban land which include the historical center, the peri-urban landscape also comprises small-scale agricultural land and wine estates, parts of the Landes forest in the North West, large wetlands areas along the Garonne river, as well as rich biodiversity corridors along smaller rivers (e.g. Jalles-de-Blanquefort). The city is currently expanding as it is predicted to reach 1 million inhabitants by 2030 (about 770 000 today). This raises important challenges regarding the ability of the city to ensure long-term biodiversity and ecosystem services protection. To address these issues, the metropolitan authorities have carried out prospective studies since 2011 to better incorporate nature protection into landscape planning and management.",
17,Cities,17.3,France,Urban agriculture on the wild side: Welcome to La Fournillière,"La Fournillière is a district of the French city of Nantes (Figure 1). Historically, the place was occupied by fruit and vegetable canneries that provided kitchen gardens to their employees. During the post-war boom, canneries disappeared, social housing complexes were built and various development projects were proposed to transform the site. The gardeners were evicted and their gardens ceased to exist. However, all these projects were eventually abandoned and, in the seventies, the place turned into a wasteland of more than 3 hectares."
